epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,12195.9,1.11609,0.57563,0.97835,0.75928,0.83099,0.81313,0.35998,1.87375,0.96052,1.4632,0.000614,0.000614,0.000614
72,12303,1.10106,0.56203,0.95896,0.7361,0.81408,0.80716,0.36347,1.86153,1.00643,1.48042,0.0005942,0.0005942,0.0005942
73,12414.9,1.09924,0.5558,0.95416,0.74837,0.81266,0.80505,0.35746,1.89404,1.0044,1.50369,0.0005744,0.0005744,0.0005744
74,12523.4,1.11957,0.58203,0.94722,0.74402,0.81057,0.80444,0.36316,1.87616,1.00307,1.49837,0.0005546,0.0005546,0.0005546
75,12637.6,1.08373,0.54442,0.96383,0.73999,0.84978,0.81054,0.3619,1.86279,0.99257,1.48699,0.0005348,0.0005348,0.0005348
76,12761,1.12093,0.57085,0.94964,0.73375,0.80736,0.7944,0.35477,1.88964,1.02484,1.49027,0.000515,0.000515,0.000515
77,12894.5,1.10209,0.56565,0.96361,0.76181,0.85589,0.82016,0.37404,1.8594,1.00182,1.47435,0.0004952,0.0004952,0.0004952
78,13005.1,1.0807,0.55114,0.9882,0.77533,0.85545,0.82448,0.37497,1.85872,0.98241,1.47085,0.0004754,0.0004754,0.0004754
79,13107.2,1.04782,0.55895,0.96258,0.74258,0.84225,0.80085,0.35272,1.89102,1.02448,1.46724,0.0004556,0.0004556,0.0004556
80,13212.4,1.03956,0.53514,0.94709,0.76164,0.81972,0.8011,0.34672,1.89469,1.03987,1.47257,0.0004358,0.0004358,0.0004358
81,13313,1.02879,0.54212,0.95145,0.7865,0.82254,0.82027,0.35987,1.87634,1.00389,1.47149,0.000416,0.000416,0.000416
82,13417.8,1.00535,0.512,0.94246,0.75869,0.81972,0.80566,0.35092,1.90877,1.02712,1.48831,0.0003962,0.0003962,0.0003962
83,13528.5,1.05207,0.53341,0.93701,0.76398,0.7831,0.79064,0.34797,1.92067,1.03345,1.50814,0.0003764,0.0003764,0.0003764
84,13643.1,1.01926,0.51566,0.93797,0.76758,0.82254,0.8163,0.36192,1.89536,0.97834,1.50702,0.0003566,0.0003566,0.0003566
85,13767.8,1.00687,0.51338,0.92912,0.8059,0.80845,0.83315,0.37466,1.87063,0.98146,1.49818,0.0003368,0.0003368,0.0003368
86,13873.1,0.95172,0.49909,0.92448,0.7922,0.82691,0.83751,0.37802,1.87361,0.96025,1.50541,0.000317,0.000317,0.000317
87,13974.5,1.00419,0.51934,0.94114,0.81672,0.81589,0.84073,0.38151,1.86769,0.95758,1.51003,0.0002972,0.0002972,0.0002972
88,14072.9,0.99036,0.49939,0.94899,0.77739,0.83615,0.8313,0.37671,1.87245,0.99479,1.51844,0.0002774,0.0002774,0.0002774
89,14173.6,0.94697,0.48413,0.91681,0.7747,0.83301,0.81648,0.36516,1.87657,0.99345,1.5251,0.0002576,0.0002576,0.0002576
90,14261.7,0.94566,0.4861,0.92211,0.76968,0.8338,0.81544,0.36391,1.88579,0.96587,1.51968,0.0002378,0.0002378,0.0002378
91,14359.3,1.04864,0.53333,0.97891,0.78335,0.80845,0.8246,0.36735,1.9127,0.94809,1.53902,0.000218,0.000218,0.000218
92,14457,1.00366,0.51969,0.94656,0.80148,0.80845,0.83329,0.36861,1.90795,0.94097,1.53875,0.0001982,0.0001982,0.0001982
93,14577.1,0.95945,0.4837,0.94689,0.79479,0.81127,0.8362,0.37558,1.88794,0.94494,1.52321,0.0001784,0.0001784,0.0001784
94,14682.6,0.95148,0.47185,0.93813,0.7784,0.83115,0.83333,0.37645,1.88313,0.95157,1.5215,0.0001586,0.0001586,0.0001586
95,14782.4,0.92842,0.46132,0.93395,0.77148,0.82817,0.83191,0.37729,1.8873,0.96186,1.52873,0.0001388,0.0001388,0.0001388
96,14886.6,0.94502,0.4688,0.92572,0.78971,0.81455,0.83288,0.38139,1.88742,0.97768,1.53802,0.000119,0.000119,0.000119
97,14992.1,0.93254,0.4567,0.92874,0.79732,0.82004,0.83617,0.38197,1.89036,0.97619,1.54669,9.92e-05,9.92e-05,9.92e-05
98,15096.9,0.92161,0.45724,0.92813,0.79324,0.82137,0.83491,0.38053,1.88695,0.98693,1.54456,7.94e-05,7.94e-05,7.94e-05
99,15207.7,0.91252,0.45349,0.91694,0.78779,0.81972,0.82833,0.37756,1.89069,1.00494,1.5486,5.96e-05,5.96e-05,5.96e-05
100,15309.8,0.91395,0.44404,0.91309,0.78652,0.81127,0.82432,0.37393,1.89573,1.01681,1.54844,3.98e-05,3.98e-05,3.98e-05
